,Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
65,2017-04-07,25.2,30.2,27.8,84.0,6.0,2.5,3.0,315.0,2.0,NW
66,2017-04-08,25.2,32.4,26.9,83.0,0.0,0.0,3.0,315.0,2.0,N 
67,2017-04-09,25.2,32.4,27.4,86.0,0.0,4.7,3.0,360.0,2.0,N 
68,2017-04-10,25.4,31.8,28.2,82.0,17.0,5.4,6.0,315.0,2.0,NW
69,2017-04-11,25.6,31.4,27.6,87.0,2.0,3.6,4.0,315.0,3.0,NW
70,2017-04-12,26.0,33.4,29.0,76.0,4.0,6.0,3.0,90.0,2.0,E 
71,2017-04-13,26.0,32.6,27.6,86.0,6.0,6.9,5.0,315.0,2.0,NW
72,2017-04-14,24.2,30.4,27.6,88.0,54.0,3.4,3.0,315.0,3.0,NW
73,2017-04-15,25.2,33.2,28.4,79.0,0.0,7.5,6.0,360.0,2.0,N 
74,2017-04-16,25.0,32.2,28.1,78.0,0.0,8.0,4.0,360.0,2.0,N 
75,2017-04-17,26.0,31.6,28.6,86.0,2.0,7.0,5.0,360.0,2.0,N 
76,2017-04-18,25.6,32.0,28.4,86.0,7.0,7.4,4.0,360.0,3.0,N 
77,2017-04-19,26.2,31.6,27.9,83.0,0.0,3.1,5.0,360.0,2.0,N 
78,2017-04-20,24.4,33.2,28.7,79.0,0.0,7.8,6.0,315.0,3.0,NW
79,2017-04-21,25.8,32.8,28.9,78.0,16.0,5.7,7.0,90.0,3.0,SW
80,2017-04-22,25.0,32.6,28.8,80.0,3.0,7.4,4.0,315.0,3.0,NW
81,2017-04-23,25.0,31.8,28.0,84.0,0.0,4.9,3.0,360.0,2.0,N 
82,2017-04-24,25.2,32.2,28.4,80.0,0.0,6.0,4.0,360.0,2.0,N 
83,2017-04-25,26.2,32.8,29.5,78.0,0.0,8.0,6.0,360.0,3.0,N 
84,2017-04-26,26.2,32.2,28.7,80.0,0.0,5.4,5.0,315.0,2.0,NW
85,2017-04-27,25.6,32.0,28.3,81.0,0.0,6.5,5.0,315.0,3.0,NE
86,2017-04-28,23.6,32.2,28.0,80.0,0.0,7.4,5.0,315.0,0.0,NW
87,2017-04-29,25.4,33.0,27.9,82.0,0.0,6.9,6.0,45.0,0.0,NE
88,2017-04-30,25.0,32.4,28.1,79.0,7.0,7.2,5.0,90.0,3.0,E 
89,2017-05-01,24.2,33.2,28.5,70.0,9.0,4.6,3.0,90.0,3.0,E 
90,2017-05-02,24.2,33.0,28.7,82.0,15.0,5.0,4.0,360.0,2.0,NW
91,2017-05-03,26.2,32.0,28.0,83.0,28.0,3.3,6.0,360.0,3.0,NW
92,2017-05-04,24.0,33.0,28.3,82.0,41.0,5.6,7.0,45.0,3.0,NE
93,2017-05-05,24.6,33.2,28.0,82.0,4.0,6.0,3.0,45.0,2.0,NE
94,2017-05-06,25.4,32.6,28.9,79.0,6.0,3.5,6.0,90.0,3.0,NE
95,2017-05-07,25.4,31.4,27.5,84.0,4.5,2.6,3.0,360.0,24.0,N 
96,2017-05-08,26.0,32.6,28.4,81.0,3.0,4.3,4.0,135.0,3.0,SE
97,2017-05-09,26.0,33.4,29.8,72.0,1.5,7.4,7.0,90.0,4.0,E 
98,2017-05-10,25.4,33.2,29.4,71.0,0.0,5.2,4.0,90.0,3.0,SE
99,2017-05-11,25.4,33.4,28.6,74.0,0.0,7.2,4.0,90.0,3.0,SE
100,2017-05-12,26.2,34.4,29.5,76.0,0.0,7.1,7.0,45.0,3.0,NE
101,2017-05-13,25.0,34.4,29.5,74.0,4.0,7.3,6.0,135.0,2.0,S 
102,2017-05-14,24.4,32.2,28.4,76.0,0.0,7.8,4.0,45.0,2.0,NW
103,2017-05-15,24.0,34.8,30.4,62.0,0.0,7.9,5.0,90.0,3.0,E 
104,2017-05-16,24.0,34.0,28.4,80.0,0.0,7.3,4.0,90.0,3.0,E 
105,2017-05-17,25.2,32.6,29.0,76.0,10.0,8.0,3.0,315.0,2.0,N 
106,2017-05-18,24.8,34.2,29.5,72.0,0.0,7.8,5.0,100.0,2.0,E 
107,2017-05-19,24.4,33.6,28.7,72.0,0.0,8.0,5.0,360.0,2.0,N 
108,2017-05-20,23.2,34.0,28.9,78.0,0.0,6.0,5.0,135.0,2.0,SE
109,2017-05-21,25.4,34.2,29.2,72.0,0.0,6.7,3.0,60.0,2.0,N 
110,2017-05-22,24.8,34.8,29.2,76.0,0.0,7.8,4.0,110.0,2.0,N 
111,2017-05-23,25.0,34.2,29.3,69.0,0.0,8.0,5.0,10.0,2.0,N 
112,2017-05-24,24.0,33.4,28.4,68.0,0.0,8.0,6.0,90.0,3.0,E 
113,2017-05-25,23.4,35.0,29.3,62.0,0.0,8.0,4.0,90.0,3.0,E 
114,2017-05-26,24.0,33.4,28.9,80.0,0.0,5.7,4.0,270.0,3.0,W 
115,2017-05-27,25.0,33.4,29.1,77.0,13.0,4.5,5.0,90.0,4.0,SE
116,2017-05-28,26.4,33.0,29.0,80.0,0.0,3.8,5.0,45.0,0.0,NE
117,2017-05-29,25.6,31.0,27.8,80.0,0.0,0.0,4.0,135.0,0.0,SE
118,2017-05-30,26.0,33.2,29.3,76.0,0.0,5.7,6.0,90.0,0.0,E 
119,2017-05-31,27.4,33.2,30.1,72.0,0.0,5.3,7.0,135.0,0.0,SE
120,2017-06-01,26.2,31.6,27.0,86.0,0.0,4.6,4.0,360.0,2.0,N 
121,2017-06-02,25.0,31.4,26.5,89.0,50.0,5.2,3.0,360.0,2.0,N 
122,2017-06-03,23.8,32.6,27.9,82.0,38.0,7.1,4.0,360.0,2.0,NW
123,2017-06-04,24.2,33.2,28.4,74.0,0.0,8.7,4.0,90.0,1.0,C 
124,2017-06-05,25.0,33.4,28.2,77.0,0.0,7.8,4.0,45.0,3.0,NE
125,2017-06-06,26.4,33.2,29.0,74.0,0.0,8.0,6.0,135.0,3.0,SE
126,2017-06-07,26.4,31.6,29.0,79.0,0.0,5.2,4.0,90.0,4.0,SE
127,2017-06-08,27.0,33.8,29.7,74.0,0.0,7.8,7.0,135.0,4.0,SE
128,2017-06-09,27.0,33.6,29.3,72.0,0.0,7.5,5.0,90.0,3.0,E 
129,2017-06-10,25.8,33.6,29.3,72.0,0.0,7.1,5.0,90.0,3.0,E 
130,2017-06-11,25.0,33.4,27.9,78.0,0.0,7.8,6.0,90.0,2.0,E 
131,2017-06-12,26.4,33.2,29.0,76.0,0.0,5.8,6.0,315.0,3.0,NW
132,2017-06-13,23.6,31.2,26.8,83.0,41.0,0.4,3.0,135.0,3.0,SE
133,2017-06-14,25.4,33.2,27.7,84.0,0.0,6.9,6.0,45.0,4.0,NE
134,2017-06-15,26.0,32.4,28.9,79.0,21.0,5.9,6.0,135.0,4.0,SE
135,2017-06-16,27.2,33.4,29.6,77.0,0.0,7.7,5.0,315.0,3.0,E 
136,2017-06-17,25.8,33.0,29.1,72.0,1.0,8.0,6.0,45.0,4.0,NE
137,2017-06-18,22.8,32.8,26.2,74.0,0.0,6.4,4.0,135.0,3.0,SE
138,2017-06-19,23.4,32.8,27.0,74.0,0.0,7.1,4.0,315.0,3.0,NW
139,2017-06-20,24.8,32.8,27.9,75.0,0.0,5.8,4.0,315.0,2.0,NW
140,2017-06-21,25.2,33.0,28.0,78.0,0.0,4.1,4.0,135.0,2.0,SE
141,2017-06-22,25.2,32.4,28.6,79.0,0.0,5.6,6.0,135.0,2.0,E 
142,2017-06-23,27.0,32.8,29.3,74.0,0.0,6.0,7.0,90.0,39.0,SE
143,2017-06-24,26.6,30.8,27.7,76.0,0.0,3.0,9.0,90.0,2.0,E 
144,2017-06-25,25.0,31.4,27.8,79.0,2.0,4.9,3.0,360.0,3.0,N 
145,2017-06-26,24.8,31.4,28.5,79.0,1.0,4.6,5.0,360.0,2.0,N 
146,2017-06-27,24.6,32.8,28.0,78.0,0.0,7.2,4.0,360.0,4.0,N 
147,2017-06-28,23.8,32.4,27.9,82.0,26.0,6.4,4.0,90.0,0.0,E 
148,2017-06-29,26.2,32.4,28.3,82.0,1.0,6.6,5.0,315.0,0.0,NW
149,2017-06-30,24.8,33.4,28.3,76.0,0.0,7.9,5.0,135.0,0.0,SE
150,2017-07-01,25.2,33.0,28.5,78.0,0.0,7.6,5.0,315.0,4.0,E 
151,2017-07-02,27.0,33.0,29.5,73.0,0.0,6.1,5.0,135.0,3.0,SE
152,2017-07-03,25.6,33.2,28.3,78.0,0.0,7.3,7.0,90.0,2.0,SE
153,2017-07-04,25.6,33.0,29.0,74.0,0.0,6.3,5.0,90.0,3.0,E 
154,2017-07-05,24.9,33.5,28.65,74.5,0.0,6.949999999999999,4.0,90.0,3.0,
155,2017-07-06,24.2,34.0,28.3,75.0,0.0,7.6,3.0,90.0,3.0,E 
156,2017-07-07,24.4,34.2,28.2,76.0,0.0,5.4,4.0,360.0,3.0,SE
157,2017-07-08,24.8,33.4,28.4,77.0,0.0,5.3,3.0,315.0,2.0,NW
158,2017-07-09,25.2,33.4,28.8,77.0,0.0,6.6,4.0,315.0,2.0,NW
159,2017-07-10,24.4,32.0,27.8,79.0,0.0,6.5,5.0,360.0,2.0,N 
160,2017-07-11,23.6,32.8,28.4,75.0,0.0,4.6,4.0,360.0,2.0,N 
161,2017-07-12,23.13333333333333,32.6,28.43333333333333,74.0,0.0,3.366666666666666,4.666666666666667,285.0,2.0,
162,2017-07-13,22.66666666666667,32.4,28.46666666666667,73.0,0.0,2.133333333333333,5.333333333333333,210.0,2.0,
163,2017-07-14,22.2,32.2,28.5,72.0,0.0,0.9,6.0,135.0,2.0,SE
164,2017-07-15,23.6,33.8,28.6,70.0,0.0,7.8,7.0,45.0,4.0,NE
165,2017-07-16,23.8,33.4,27.5,77.0,0.0,7.6,4.0,90.0,3.0,E 
166,2017-07-17,21.0,31.2,26.8,73.0,0.0,0.7,3.0,135.0,2.0,SE
167,2017-07-18,25.0,33.0,28.3,66.0,0.0,5.7,7.0,135.0,5.0,SE
168,2017-07-19,24.9,32.9,27.55,74.0,0.5,5.300000000000001,5.0,112.5,3.5,
169,2017-07-20,24.8,32.8,26.8,82.0,1.0,4.9,3.0,90.0,2.0,SE
170,2017-07-21,23.8,32.2,27.6,77.0,2.0,5.1,6.0,90.0,3.0,SE
171,2017-07-22,23.2,33.2,28.4,76.0,24.0,6.3,4.0,90.0,3.0,SE
172,2017-07-23,24.4,33.6,28.0,82.0,0.0,8.0,4.0,135.0,3.0,SE
173,2017-07-24,23.8,33.6,28.2,68.0,0.0,8.0,6.0,135.0,3.0,SE
174,2017-07-25,21.6,32.8,27.2,64.0,0.0,8.0,9.0,135.0,4.0,SE
175,2017-07-26,22.4,33.8,27.9,63.0,0.0,7.8,6.0,135.0,3.0,SE
